"R0000100","R0536300","R0536401","R1210700","U4329700","U4330000","U4336100","U4336200","U4336300","U4337600","U4337700","U4337800","U4337900","U4338800","U4338900","U4339000","U4339100"
1,2,9,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1,7,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,2,9,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
5,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,1,4,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
8,2,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
10,1,3,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
11,2,6,77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
12,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13,1,11,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
14,1,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
15,2,1,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
16,1,2,61,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
17,2,11,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
18,1,2,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
19,1,4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
20,1,12,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
21,1,8,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
22,1,6,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
23,2,1,73,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
24,1,6,25,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,2,3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
26,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
27,1,5,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
28,2,11,77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
29,2,1,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,1,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,1,7,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
32,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
33,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
34,2,12,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
35,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
