"E8033100","R0000100","R0536300","R0536401","R0536402","R1210700","R1235800","R1482600","R9829600","U4282400"
0,1,2,9,1981,-4,1,4,45070,-5
0,2,1,7,1982,96,1,2,58483,-4
0,3,2,9,1983,7,1,2,27978,-4
0,4,2,2,1981,-4,1,2,37012,-4
0,5,1,10,1982,-4,1,2,-4,-4
0,6,2,1,1982,-4,1,2,22001,-4
2,7,1,4,1983,63,1,2,3585,-4
0,8,2,6,1981,-4,1,4,-4,-4
0,9,1,10,1982,-4,1,4,-4,-4
0,10,1,3,1984,50,1,4,-4,-4
0,11,2,6,1982,77,1,2,30583,-4
0,12,1,10,1981,-4,1,2,-4,-4
3,13,1,11,1984,-3,1,2,67533,-4
0,14,1,7,1980,-4,1,2,-5,-5
0,15,2,1,1983,-3,1,2,26024,-4
8,16,1,2,1982,61,1,2,44451,-4
0,17,2,11,1981,19,1,2,30811,-4
7,18,1,2,1982,55,1,1,9339,-4
1,19,1,4,1984,-3,1,1,8334,-4
1,20,1,12,1980,5,1,1,11025,-5
0,21,1,8,1982,34,1,2,3505,-4
0,22,1,6,1982,-3,1,2,10443,-4
0,23,2,1,1983,73,1,2,6423,-4
14,24,1,6,1984,25,1,2,6120,-5
0,25,2,3,1983,-3,1,2,5403,3
1,26,1,10,1980,-4,1,1,12866,-4
1,27,1,5,1981,53,1,1,9161,-4
0,28,2,11,1983,77,1,1,17058,-4
0,29,2,1,1983,-3,1,4,-4,-5
0,30,1,6,1981,-4,1,4,36755,-5
0,31,1,7,1982,86,1,4,62806,-4
0,32,2,7,1981,-4,1,4,39949,-4
0,33,2,12,1980,-4,1,4,96655,-4
0,34,2,12,1984,87,1,4,35107,-4
0,35,1,1,1983,-4,1,4,59270,5
4,36,2,8,1980,-4,1,4,52192,-5
0,37,2,11,1980,-4,1,4,82912,-4
0,38,2,9,1981,-4,1,4,68753,-4
0,39,1,2,1980,-4,1,2,45900,-5
0,40,2,5,1984,14,1,4,-4,-5
2,41,2,1,1983,63,1,4,88652,-4
0,42,1,8,1983,63,1,4,44217,-5
1,43,2,10,1981,-4,1,1,22965,-4
0,44,1,12,1981,-4,1,2,25325,-4
0,45,2,2,1984,4,1,1,-4,-4
19,46,1,2,1984,18,1,1,-4,-4
0,47,2,9,1982,8,1,1,46475,-4
0,48,2,7,1983,5,1,1,63769,-4
0,49,2,12,1982,91,1,1,79413,-4
0,50,2,2,1983,-4,1,1,-4,-4
0,51,1,6,1980,-4,1,1,51057,-4
0,52,1,12,1983,16,1,1,29824,-4
0,53,2,4,1984,21,1,1,47134,-5
0,54,2,12,1984,-3,1,1,58541,-4
0,55,2,2,1981,-4,1,2,53241,-4
0,56,2,2,1982,91,1,4,96703,-4
0,57,1,12,1982,-3,1,1,-4,-4
0,58,1,11,1983,14,1,1,15235,-4
0,59,2,4,1981,-4,1,1,56429,-4
0,60,1,1,1984,1,1,4,1355,-4
0,61,2,5,1983,-3,1,1,44495,-4
0,62,1,3,1980,-4,1,1,73429,-4
0,63,2,10,1984,27,1,1,52921,-4
3,64,1,3,1980,-4,1,1,34197,-4
0,65,1,4,1984,8,1,1,27471,-5
0,66,1,10,1980,-4,1,1,-4,-5
0,67,1,11,1980,-4,1,1,-4,-4
0,68,1,1,1981,-4,1,1,-4,-5
0,69,2,7,1981,-4,1,1,81315,-5
